INSTNM,CITY,INSTURL,st_fips,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE
Bitterroot School of Cosmetology,Hamilton,bitterrootschoolofcosmetology.com,30,46.2721,-114.1581,0,0,NULL,NULL
Atlanta Beauty & Barber Academy,Doraville,www.atlantabeautyacademy.com,13,33.9166,-84.2597,0,0,NULL,NULL
The Salon Professional Academy-Great Falls,Great Falls,www.tspagreatfalls.com,30,47.4982,-111.3043,0,0,NULL,NULL
Park West Barber School,Durham,www.parkwest.edu,37,35.9889,-78.8901,0,0,NULL,NULL
National Career Institute,East Orange,nciedu.com,34,40.7615,-74.2224,0,0,NULL,NULL
Toni & Guy Hairdressing Academy-Albuquerque,Albuquerque,www.toniguy.com,35,35.0809,-106.6228,0,0,NULL,NULL
International Academy of Style,Reno,www.redkenias.com,32,39.5058,-119.8051,0,0,NULL,NULL
EDP School of Computer Programming,Brooklyn,edpschool.edu/,36,40.5858,-73.9529,0,0,NULL,NULL
New York Medical Career Training Center,Flushing,nymedtraining.com/,36,40.7627,-73.8313,0,0,NULL,NULL
Institute of Culinary Education,New York,www.ice.edu,36,40.7422,-73.9912,0,0,NULL,NULL
New Life Business Institute,Jamaica,www.NLBI1.com,36,40.7035,-73.7982,0,0,NULL,NULL
The Salon Professional Academy-Tonawanda,Tonawanda,tspabuffalo.com,36,42.982,-78.8272,0,0,NULL,NULL
Onondaga School of Therapeutic Massage-Syracuse,Syracuse,www.ostm.edu,36,43.0474,-76.1404,0,0,NULL,NULL
Academy of Cosmetology and Esthetics NYC,Staten Island,www.theacademynyc.com,36,40.5732,-74.1147,0,0,NULL,NULL
Finger Lakes School of Massage,Ithaca,www.flsm.com,36,42.4645,-76.5359,0,0,NULL,NULL
Four County Career Center,Archbold,www.fourcounty.net,39,41.4528,-84.3031,0,0,NULL,NULL
Vanity School of Cosmetology,Sheffield Village,vanity.edu,39,41.4254,-82.0796,0,0,NULL,NULL
The Salon Professional Academy-Perrysburg,Perrysburg,www.tspaperrysburg.com,39,41.5454,-83.6208,0,0,NULL,NULL
Portland Actors Conservatory,Portland,www.actorsconservatory.com/,41,45.514,-122.6911,0,0,NULL,0.9143
Somerset County Technology Center,Somerset,www.sctc.net/dnn/,42,40.0066,-79.0304,0,0,NULL,NULL
Metro Beauty Academy,Allentown,www.metrobeautyacademy.edu/,42,40.5683,-75.5549,0,0,NULL,NULL
Barone Beauty Academy,Williamsport,www.baronebeautyacademy.com,42,41.2445,-76.9935,0,0,NULL,NULL
Academy for Careers and Technology,Mullins,www.mcact.org,45,34.1877,-79.3388,0,0,NULL,NULL
Aiken School of Cosmetology,Aiken,www.aikenschoolofcosmetology.com,45,33.5597,-81.717,0,0,NULL,NULL
Love Beauty School Inc,Manchester,www.lovebeautyschool.net,47,35.4888,-86.0935,0,0,NULL,NULL
